Gene Symbol,UniProt ID
ATF7,P17544
GAPDH,P04406
FOS,P01100
TGFB1,P01137
SOD1,P00441
SLC2A1,P11166
MAPK1,P28482
AKT1,P31749
TLR4,O00206
TH,P07101
TFRC,P02786
SERPINE1,P05121
RARA,P10276
PTPN1,P18031
KCNH2,Q12809
